,date,Average_Price,CPIAdjPrice,Income,CPIAdjIncome,Inflation
0,1968,3669.066692333333,58924.34988205311,789.6199999999999,12681.111861795434,4.6974
1,1969,3833.22696425,58380.91166241437,850.46,12952.697712782434,5.4467
2,1970,4056.620324,58085.208845149245,958.6200000000001,13726.116435819784,6.3666
3,1971,4538.94689525,59382.84508023506,1073.54,14045.077190515198,9.4448
4,1972,6067.160559250001,74134.29457905133,1208.87,14771.114726994485,7.0711
5,1973,8346.78825075,93399.84682533798,1384.11,15488.072550277348,9.196
6,1974,9001.73696375,86802.14080532505,1646.06,15872.662406088666,16.044
7,1975,9529.75763175,73984.18162887315,2122.64,16479.095204845504,24.2073
8,1976,10372.55985,69086.81923858025,2472.86,16470.575662411393,16.5595
9,1977,11134.1281225,64018.55931997036,2719.34,15635.551089929377,15.8403
10,1978,12956.81485,68812.49764061821,3079.96,16357.395138142183,8.2631
11,1979,16764.6562075,78499.90877577469,3595.28,16834.771231223127,13.4213
12,1980,20267.8702525,80449.99827069178,4367.349999999999,17335.48200034323,17.9659
13,1981,21430.5311475,76034.64504264355,4969.25,17630.695071327395,11.8766
14,1982,21938.243327499997,71672.92530874175,5450.900000000001,17808.260339408913,8.5989
15,1983,24522.4983275,76585.70088746614,5923.32,18498.996624337557,4.6093
16,1984,26807.203142500002,79764.14500454655,6292.78,18724.005400098606,4.9607
17,1985,29142.67917,81749.93356149746,6853.210000000001,19224.363652869673,6.0714
18,1986,33102.83418,89781.44740308478,7398.3,20065.65597103934,3.4276
19,1987,38661.739024999995,100681.12190510592,7984.08,20791.773780799766,4.1489
20,1988,49319.361137500004,123311.1997719123,8718.19,21797.737114686042,4.1554
21,1989,58876.811297500004,139189.6353441389,9553.699999999999,22585.73434739941,5.7602
22,1990,58162.437490000004,127240.78575457244,10562.37,23107.082787952175,8.0635
23,1991,57333.208137500005,116717.49160836975,11384.23,23175.72681971831,7.4618
24,1992,55052.666502500004,107154.75917413615,12066.73,23486.737869647186,4.5915
25,1993,54121.3874025,102714.0931612047,12426.57,23583.724104516805,2.5586
26,1994,55558.83843,103153.17285384973,12894.960000000001,23941.393942196533,2.219
27,1995,55938.542474999995,101130.16797168854,13315.9,24073.548292682925,2.6975
28,1996,57986.232149999996,101925.45293641009,13799.11,24255.422101422842,2.8518
29,1997,63085.115055,108499.79212339007,14408.289999999999,24780.75007853403,2.2011
30,1998,70313.05278499999,118768.82843921817,15158.13,25604.255115110434,1.8206
31,1999,77961.37713749999,129419.288520205,15851.809999999998,26314.696421270237,1.753
32,2000,89596.59397500001,146995.36541596483,16518.71,27101.184374574346,1.183
33,2001,96892.3359975,156565.8831199402,17368.0,28064.51335941867,1.5323
34,2002,112519.66624083334,179094.73140017677,17918.420000000002,28520.299821605553,1.5204
35,2003,130164.35505,204366.23809392785,18494.579999999998,29037.65580273734,1.3765
36,2004,145608.72670833333,225479.80885389438,19300.71,29887.771838440112,1.3904
37,2005,156236.29575000002,236985.9816109246,20202.0,30643.268758526603,2.0891
38,2006,168512.96538333333,249481.3481154051,21150.87,31313.599813581888,2.4557
39,2007,185196.39176666667,267789.98065180075,22182.29,32075.112010804325,2.3866
40,2008,176852.68703333335,247026.3566273483,22971.0,32085.701005025123,3.5214
41,2009,161148.03261666666,220759.51695965315,22953.71,31444.690014216663,1.9617
42,2010,170364.50946666667,227709.3230840762,23482.29,31386.44531718143,2.4927
43,2011,167888.32084166666,216067.8291733105,24032.71,30929.462233104805,3.8561
44,2012,168555.81296666668,211484.8715816146,24362.0,30566.696874999998,2.5732
45,2013,172889.67765,212062.74616031058,24648.0,30232.70468431772,2.2917
46,2014,186769.88061666666,225811.11287606024,24951.29,30166.954885821837,1.4511
47,2015,197890.09018333335,238378.47849903326,25557.87,30787.019999999997,0.368
48,2016,211724.74488333333,252497.48040789602,26164.579999999998,31203.20456435643,1.0084
